ASPIRANT'S FULL NAME,GENDER,POSITION,COUNTY,E. D.,STATUS,PARTY,CountyID,MatchID,Postname,,LikelyIncumbent,IncumbentElected,District-Title,DistrictPopPlace,,PopPlaceName,MatchID,Candidates In E.D.,,PARTY,Candidates Count,,COUNTY,Candidates Count
"YARKPAZUA, EMMANUEL DENIA",Male,Representative,Montserrado,1,Accepted,All Liberian Party (ALP),01,0101,yarkpazua-emmanuel-denia,yarkpazua-0101,,,District #1 including Careysburg,Careysburg,,Careysburg,0101,14,,All Liberian Party (ALP),59,,Montserrado,215
"JANGABA, WEEMOH YATTA",Female,Representative,Montserrado,1,Accepted,Alternative National Congress (ANC),01,0101,jangaba-weemoh-yatta,jangaba-0101,,,,Careysburg,,Johnsonville,0102,11,,Alternative National Congress (ANC),66,,Nimba,92
"VARNEY, JAMES MALLEY",Male,Representative,Montserrado,1,Accepted,"Coalition for Democratic Change (CDC)-CDC, NPP & LPDP",01,0101,varney-james-malley,varney-0101,,,,Careysburg,,Nizohn,0103,15,,"Coalition for Democratic Change (CDC)-CDC, NPP & LPDP",54,,Grand Cape Mount,37
"DENNIS, GABRIEL EPHRAIM",Male,Representative,Montserrado,1,Accepted,Coalition for Liberia's Progress (CLP),01,0101,dennis-gabriel-ephraim,dennis-0101,,,,Careysburg,,Wein Town,0104,22,,Coalition for Liberia's Progress (CLP),34,,Bong,72
"DIXON, SR, JOHN M. D.",Male,Representative,Montserrado,1,Accepted,Grassroot Democratic Party OF Liberia (GDPL),01,0101,dixon-sr-john-m-d,dixon-0101,,,,Careysburg,,Paynesville,0105,12,,Grassroot Democratic Party OF Liberia (GDPL),23,,Lofa,42
"BETTIE, SR., SHEDRICK A.",Male,Representative,Montserrado,1,Accepted,Independent Candidates,01,0101,bettie-sr-shedrick-a,bettie-0101,,,,Careysburg,,ELWA,0106,11,,Independent Candidates,76,,Margibi,50
"MORRIS, LAWRENCE",Male,Representative,Montserrado,1,Accepted,Independent Candidates,01,0101,morris-lawrence,morris-0101,,,,Careysburg,,Westpoint,0107,14,,Liberia Transformation Party  (LTP),49,,Grand Bassa,44
"MULBAH, SYLVESTER G.",Male,Representative,Montserrado,1,Accepted,Independent Candidates,01,0101,mulbah-sylvester-g,mulbah-0101,,,,Careysburg,,From Crown Hill to 12 Street,0108,14,,Liberian National Union (LINU),18,,Bomi,27
"SATIA, DESIRE S.",Male,Representative,Montserrado,1,Accepted,Independent Candidates,01,0101,satia-desire-s,satia-0101,,,,Careysburg,,Sinkor,0109,8,,Liberty Party (LP),41,,Grand Kru,23
"BARCLAY, JR., WILLIE DOMA",Male,Representative,Montserrado,1,Accepted,Liberia Transformation Party  (LTP),01,0101,barclay-jr-willie-doma,barclay-0101,,,,Careysburg,,Congo Town,0110,15,,United People's Party ( UPP),63,,Gbarpolu,27
"FAHN, S. JOSEN",Male,Representative,Montserrado,1,Accepted,Liberian National Union (LINU),01,0101,fahn-s-josen,fahn-0101,,,,Careysburg,,Caldwell,0111,12,,Unity Party (UP),53,,River Gee,26
"BARRY, RUGIE YATU",Female,Representative,Montserrado,1,Accepted,Liberty Party (LP),01,0101,barry-rugie-yatu,barry-0101,,,,Careysburg,,Chocolate City,0112,15,,Change Democratic Action (CDA),6,,Grand Gedeh,34
"GARNETT, E. JONATHAN",Male,Representative,Montserrado,1,Accepted,United People's Party ( UPP),01,0101,garnett-e-jonathan,garnett-0101,,,,Careysburg,,New Georgia,0113,8,,Liberian's People's Party (LPP),25,,Rivercess,14
